['tran1234', 202539717, 'impression', '2', 240476472L, datetime.datetime(2013, 5, 17, 7, 32, 35), 0.145632711591233, False, 'best']
['tran1234', 202539717, 'impression', '12', 240456213L, datetime.datetime(2013, 5, 17, 7, 32, 35), 0.0408539123717787, False, 'best']
['tran1234', 202539717, 'impression', '16', 240585459L, datetime.datetime(2013, 5, 17, 7, 32, 35), 0.114450254543303, False, 'best']
['tran1234', 202539717, 'impression', '17', 240597856L, datetime.datetime(2013, 5, 17, 7, 32, 35), 0.035930568271288, False, 'best']
['tran1234', 202539717, 'impression', '1', 240423275L, datetime.datetime(2013, 5, 17, 7, 32, 35), 0.209300567315063, False, 'best']
['tran1234', 202539717, 'impression', '4', 240495360L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.109453894828811, False, 'best']
['tran1234', 202539717, 'impression', '9', 240425068L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0472837727106638, False, 'best']
['tran1234', 202539717, 'impression', '12', 240456213L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0408539123717787, False, 'best']
['tran1234', 202539717, 'impression', '2', 240476472L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.145632711591233, False, 'best']
['tran1234', 202539717, 'impression', '11', 240478091L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0457331165050349, False, 'best']
['tran1234', 202539717, 'impression', '10', 240478043L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.046347639113987, False, 'best']
['tran1234', 202539717, 'impression', '13', 240556370L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0332630758216682, False, 'best']
['tran1234', 202539717, 'impression', '5', 240455742L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0873075666630093, False, 'best']
['tran1234', 202539717, 'impression', '7', 240432825L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0679553948810648, False, 'best']
['tran1234', 202539717, 'impression', '17', 240597856L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.035930568271288, False, 'best']
['tran1234', 202539717, 'impression', '16', 240585459L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.114450254543303, False, 'best']
['tran1234', 202539717, 'impression', '6', 240452142L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0754114983927867, False, 'best']
['tran1234', 202539717, 'impression', '14', 240423226L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0282769905871327, False, 'best']
['tran1234', 202539717, 'impression', '1', 240423275L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.209300567315063, False, 'best']
['tran1234', 202539717, 'impression', '15', 240421471L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0274314662101028, False, 'best']
['tran1234', 202539717, 'impression', '3', 240421503L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.12361300178786, False, 'best']
['tran1234', 202539717, 'impression', '8', 240546128L, datetime.datetime(2013, 5, 17, 7, 58, 7), 0.0515666604312248, False, 'best']
['tran1234', 202539717, 'impression', '11', 240478091L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0457331165050349, False, 'best']
['tran1234', 202539717, 'impression', '10', 240478043L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.046347639113987, False, 'best']
['tran1234', 202539717, 'impression', '13', 240556370L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0332630758216682, False, 'best']
['tran1234', 202539717, 'impression', '5', 240455742L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0873075666630093, False, 'best']
['tran1234', 202539717, 'impression', '7', 240432825L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0679553948810648, False, 'best']
['tran1234', 202539717, 'impression', '9', 240425068L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0472837727106638, False, 'best']
['tran1234', 202539717, 'impression', '4', 240495360L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.109453894828811, False, 'best']
['tran1234', 202539717, 'impression', '14', 240423226L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0282769905871327, False, 'best']
['tran1234', 202539717, 'impression', '6', 240452142L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0754114983927867, False, 'best']
['tran1234', 202539717, 'impression', '2', 240476472L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.145632711591233, False, 'best']
['tran1234', 202539717, 'impression', '12', 240456213L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.0408539123717787, False, 'best']
['tran1234', 202539717, 'impression', '1', 240423275L, datetime.datetime(2013, 5, 17, 7, 58, 15), 0.209300567315063, False, 'best']
