['jkriesel', 202568779, 'impression', '7', 241028959L, datetime.datetime(2013, 5, 22, 16, 17, 43), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 17, 43), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241027020L, datetime.datetime(2013, 5, 22, 16, 17, 43), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241026703L, datetime.datetime(2013, 5, 22, 16, 17, 43), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027486L, datetime.datetime(2013, 5, 22, 16, 17, 43), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 17, 43), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'hide', '9', 241030234L, datetime.datetime(2013, 5, 22, 16, 17, 47), 0.00587402331941246, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241028959L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027486L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241028346L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241026703L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '8', 241027020L, datetime.datetime(2013, 5, 22, 16, 20, 4), 0.00662675524490919, False, 'best']

['jkriesel', 202568779, 'impression', '8', 241028346L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241034031L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.012636283122633, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241026703L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241027020L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241031913L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.0119239717337783, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027486L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241028959L, datetime.datetime(2013, 5, 22, 17, 5, 47), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '7', 241031913L, datetime.datetime(2013, 5, 22, 17, 5, 58), 0.0119239717337783, False, 'best']

