['nr4life74', 202555650, 'impression', '13', 240762332L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.0837364652875054, False, 'time']
['nr4life74', 202555650, 'impression', '10', 240762678L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.297730834358009, False, 'time']
['nr4life74', 202555650, 'impression', '11', 240762351L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.12714398280585, False, 'time']
['nr4life74', 202555650, 'impression', '14', 240762287L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.120076117754394, False, 'time']
['nr4life74', 202555650, 'impression', '6', 240763347L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.0787065631952995, False, 'time']
['nr4life74', 202555650, 'impression', '18', 240762215L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.123259695513145, False, 'time']
['nr4life74', 202555650, 'impression', '8', 240763151L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.226406177363755, False, 'time']
['nr4life74', 202555650, 'impression', '20', 240761358L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.11115132607187, False, 'time']
['nr4life74', 202555650, 'impression', '15', 240762267L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.0362959196605934, False, 'time']
['nr4life74', 202555650, 'impression', '2', 240763512L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.183965093678314, False, 'time']
['nr4life74', 202555650, 'impression', '3', 240763496L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.116073014452839, False, 'time']
['nr4life74', 202555650, 'impression', '4', 240763432L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.162418810816559, False, 'time']
['nr4life74', 202555650, 'impression', '7', 240763302L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.0439381442956746, False, 'time']
['nr4life74', 202555650, 'impression', '9', 240762913L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.105295889904784, False, 'time']
['nr4life74', 202555650, 'impression', '16', 240762238L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.0398569827266917, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763611L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.121657400351397, False, 'time']
['nr4life74', 202555650, 'impression', '12', 240762349L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.161517954267951, False, 'time']
['nr4life74', 202555650, 'view_full_application_via_name', '1', 240763611L, datetime.datetime(2013, 5, 19, 15, 10, 18), 0.121657400351397, False, 'time']
['nr4life74', 202555650, 'impression', '5', 240763393L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.177813835297544, False, 'time']
['nr4life74', 202555650, 'impression', '19', 240762208L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.182817060150597, False, 'time']
['nr4life74', 202555650, 'impression', '17', 240762224L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.0386191591723134, False, 'time']
['nr4life74', 202555650, 'impression', '16', 240762238L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.0398569827266917, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763611L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.121657400351397, False, 'time']
['nr4life74', 202555650, 'impression', '15', 240762267L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.0362959196605934, False, 'time']
['nr4life74', 202555650, 'impression', '20', 240761358L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.11115132607187, False, 'time']
['nr4life74', 202555650, 'impression', '8', 240763151L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.226406177363755, False, 'time']
['nr4life74', 202555650, 'impression', '3', 240763496L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.116073014452839, False, 'time']
['nr4life74', 202555650, 'impression', '4', 240763432L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.162418810816559, False, 'time']
['nr4life74', 202555650, 'impression', '2', 240763512L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.183965093678314, False, 'time']
['nr4life74', 202555650, 'impression', '18', 240762215L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.123259695513145, False, 'time']
['nr4life74', 202555650, 'impression', '6', 240763347L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.0787065631952995, False, 'time']
['nr4life74', 202555650, 'impression', '14', 240762287L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.120076117754394, False, 'time']
['nr4life74', 202555650, 'impression', '11', 240762351L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.12714398280585, False, 'time']
['nr4life74', 202555650, 'impression', '10', 240762678L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.297730834358009, False, 'time']
['nr4life74', 202555650, 'impression', '13', 240762332L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.0837364652875054, False, 'time']
['nr4life74', 202555650, 'impression', '12', 240762349L, datetime.datetime(2013, 5, 19, 15, 10, 27), 0.161517954267951, False, 'time']
