['l_suza', 202580013, 'impression', '5', 241258658L, datetime.datetime(2013, 5, 25, 8, 57, 15), 0.00175014234210564, False, 'time']
['l_suza', 202580013, 'impression', '4', 241258682L, datetime.datetime(2013, 5, 25, 8, 57, 15), 0.00407176976835038, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258415L, datetime.datetime(2013, 5, 25, 8, 57, 15), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '2', 241258773L, datetime.datetime(2013, 5, 25, 8, 57, 15), 0.00204207848952555, False, 'time']
['l_suza', 202580013, 'impression', '1', 241258991L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00428336241536025, False, 'time']
['l_suza', 202580013, 'impression', '4', 241258682L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00407176976835038, False, 'time']
['l_suza', 202580013, 'impression', '14', 241258415L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '2', 241258773L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00204207848952555, False, 'time']
['l_suza', 202580013, 'impression', '17', 241258335L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00110578025145556, False, 'time']
['l_suza', 202580013, 'impression', '5', 241258658L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00175014234210564, False, 'time']
['l_suza', 202580013, 'impression', '6', 241258595L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00151128922282409, False, 'time']
['l_suza', 202580013, 'impression', '10', 241258499L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00203364440540057, False, 'time']
['l_suza', 202580013, 'impression', '16', 241258382L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00259622049388185, False, 'time']
['l_suza', 202580013, 'impression', '9', 241258528L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00113040076824246, False, 'time']
['l_suza', 202580013, 'impression', '12', 241258432L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.000138011303869903, False, 'time']
['l_suza', 202580013, 'impression', '8', 241258561L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.0039392119453924, False, 'time']
['l_suza', 202580013, 'impression', '7', 241258569L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00211231655235303, False, 'time']
['l_suza', 202580013, 'impression', '3', 241258705L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00180045715530931, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258388L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00241626657301933, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258428L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '11', 241258436L, datetime.datetime(2013, 5, 25, 8, 59, 19), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '1', 241259248L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00152689148766761, False, 'time']
['l_suza', 202580013, 'impression', '16', 241258415L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '5', 241258773L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00204207848952555, False, 'time']
['l_suza', 202580013, 'impression', '19', 241258335L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00110578025145556, False, 'time']
['l_suza', 202580013, 'impression', '7', 241258682L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00407176976835038, False, 'time']
['l_suza', 202580013, 'impression', '8', 241258658L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00175014234210564, False, 'time']
['l_suza', 202580013, 'impression', '2', 241259109L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.000876439863083581, False, 'time']
['l_suza', 202580013, 'impression', '18', 241258382L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00259622049388185, False, 'time']
['l_suza', 202580013, 'impression', '12', 241258499L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00203364440540057, False, 'time']
['l_suza', 202580013, 'impression', '9', 241258595L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00151128922282409, False, 'time']
['l_suza', 202580013, 'impression', '10', 241258561L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.0039392119453924, False, 'time']
['l_suza', 202580013, 'impression', '6', 241258705L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00180045715530931, False, 'time']
['l_suza', 202580013, 'impression', '14', 241258432L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.000138011303869903, False, 'time']
['l_suza', 202580013, 'impression', '4', 241258991L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00428336241536025, False, 'time']
['l_suza', 202580013, 'impression', '17', 241258388L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00241626657301933, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258436L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258428L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '11', 241258528L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00113040076824246, False, 'time']
['l_suza', 202580013, 'impression', '3', 241259082L, datetime.datetime(2013, 5, 25, 9, 1, 38), 0.00227879248388199, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258436L, datetime.datetime(2013, 5, 25, 9, 4, 22), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258428L, datetime.datetime(2013, 5, 25, 9, 4, 22), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '17', 241258388L, datetime.datetime(2013, 5, 25, 9, 4, 22), 0.00241626657301933, False, 'time']
['l_suza', 202580013, 'impression', '4', 241258991L, datetime.datetime(2013, 5, 25, 9, 4, 22), 0.00428336241536025, False, 'time']
['l_suza', 202580013, 'impression', '1', 241259248L, datetime.datetime(2013, 5, 25, 9, 4, 22), 0.00152689148766761, False, 'time']
