['author-christian', 202589166, 'impression', '13', 241479633L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0409064424481872, False, 'best']
['author-christian', 202589166, 'impression', '15', 241473696L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.040235750597855, False, 'best']
['author-christian', 202589166, 'impression', '6', 241476306L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0470193097668765, False, 'best']
['author-christian', 202589166, 'impression', '14', 241472365L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0404247095837048, False, 'best']
['author-christian', 202589166, 'impression', '2', 241478091L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0595262796660416, False, 'best']
['author-christian', 202589166, 'impression', '4', 241474440L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '20', 241482615L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0357857693524429, False, 'best']
['author-christian', 202589166, 'impression', '10', 241474379L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0432692702484608, False, 'best']
['author-christian', 202589166, 'impression', '19', 241474490L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0371262850769585, False, 'best']
['author-christian', 202589166, 'impression', '17', 241478831L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0377562514071185, False, 'best']
['author-christian', 202589166, 'impression', '5', 241475950L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0525829933035239, False, 'best']
['author-christian', 202589166, 'impression', '11', 241471211L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0421544588171033, False, 'best']
['author-christian', 202589166, 'impression', '9', 241475091L, datetime.datetime(2013, 5, 28, 13, 45, 53), 0.0433219966864411, False, 'best']
['author-christian', 202589166, 'impression', '4', 241474440L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '13', 241479633L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0409064424481872, False, 'best']
['author-christian', 202589166, 'impression', '6', 241476306L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0470193097668765, False, 'best']
['author-christian', 202589166, 'impression', '14', 241472365L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0404247095837048, False, 'best']
['author-christian', 202589166, 'impression', '15', 241473696L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.040235750597855, False, 'best']
['author-christian', 202589166, 'impression', '2', 241478091L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0595262796660416, False, 'best']
['author-christian', 202589166, 'impression', '17', 241478831L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0377562514071185, False, 'best']
['author-christian', 202589166, 'impression', '19', 241474490L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0371262850769585, False, 'best']
['author-christian', 202589166, 'impression', '10', 241474379L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0432692702484608, False, 'best']
['author-christian', 202589166, 'impression', '20', 241482615L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0357857693524429, False, 'best']
['author-christian', 202589166, 'impression', '16', 241471663L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0396270594201206, False, 'best']
['author-christian', 202589166, 'impression', '12', 241490665L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0419726879315106, False, 'best']
['author-christian', 202589166, 'impression', '18', 241472294L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0375538340325496, False, 'best']
['author-christian', 202589166, 'impression', '1', 241474145L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0649887998450934, False, 'best']
['author-christian', 202589166, 'impression', '7', 241479493L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0466648546801693, False, 'best']
['author-christian', 202589166, 'impression', '3', 241471732L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0559215806155427, False, 'best']
['author-christian', 202589166, 'impression', '8', 241473815L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.045813991464434, False, 'best']
['author-christian', 202589166, 'impression', '9', 241475091L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0433219966864411, False, 'best']
['author-christian', 202589166, 'impression', '11', 241471211L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0421544588171033, False, 'best']
['author-christian', 202589166, 'impression', '5', 241475950L, datetime.datetime(2013, 5, 28, 13, 54, 22), 0.0525829933035239, False, 'best']
['author-christian', 202589166, 'impression', '20', 241482615L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0357857693524429, False, 'best']
['author-christian', 202589166, 'impression', '4', 241474440L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '8', 241473815L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.045813991464434, False, 'best']
['author-christian', 202589166, 'impression', '7', 241479493L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0466648546801693, False, 'best']
['author-christian', 202589166, 'impression', '3', 241471732L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0559215806155427, False, 'best']
['author-christian', 202589166, 'impression', '17', 241478831L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0377562514071185, False, 'best']
['author-christian', 202589166, 'impression', '19', 241474490L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0371262850769585, False, 'best']
['author-christian', 202589166, 'impression', '10', 241474379L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0432692702484608, False, 'best']
['author-christian', 202589166, 'impression', '12', 241490665L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0419726879315106, False, 'best']
['author-christian', 202589166, 'impression', '18', 241472294L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0375538340325496, False, 'best']
['author-christian', 202589166, 'impression', '1', 241474145L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0649887998450934, False, 'best']
['author-christian', 202589166, 'impression', '16', 241471663L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0396270594201206, False, 'best']
['author-christian', 202589166, 'impression', '11', 241471211L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0421544588171033, False, 'best']
['author-christian', 202589166, 'impression', '5', 241475950L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0525829933035239, False, 'best']
['author-christian', 202589166, 'impression', '9', 241475091L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0433219966864411, False, 'best']
['author-christian', 202589166, 'impression', '15', 241473696L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.040235750597855, False, 'best']
['author-christian', 202589166, 'impression', '6', 241476306L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0470193097668765, False, 'best']
['author-christian', 202589166, 'impression', '14', 241472365L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0404247095837048, False, 'best']
['author-christian', 202589166, 'impression', '13', 241479633L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0409064424481872, False, 'best']
['author-christian', 202589166, 'impression', '2', 241478091L, datetime.datetime(2013, 5, 28, 14, 1, 4), 0.0595262796660416, False, 'best']
['author-christian', 202589166, 'impression', '4', 241474440L, datetime.datetime(2013, 5, 28, 14, 6, 54), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '16', 241471663L, datetime.datetime(2013, 5, 28, 14, 6, 54), 0.0396270594201206, False, 'best']
['author-christian', 202589166, 'impression', '12', 241490665L, datetime.datetime(2013, 5, 28, 14, 6, 54), 0.0419726879315106, False, 'best']
['author-christian', 202589166, 'impression', '18', 241472294L, datetime.datetime(2013, 5, 28, 14, 6, 54), 0.0375538340325496, False, 'best']
['author-christian', 202589166, 'impression', '1', 241474145L, datetime.datetime(2013, 5, 28, 14, 6, 54), 0.0649887998450934, False, 'best']
