['edos8912', 202571241, 'impression', '16', 241071597L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'impression', '4', 241137658L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0616323798697442, False, 'time']
['edos8912', 202571241, 'impression', '9', 241095454L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '12', 241072973L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '8', 241105626L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '5', 241125723L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.109793440891737, False, 'time']
['edos8912', 202571241, 'impression', '14', 241072120L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '13', 241072887L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '18', 241070081L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '7', 241117432L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0800855399543919, False, 'time']
['edos8912', 202571241, 'impression', '19', 241069523L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0622204355948179, True, 'time']
['edos8912', 202571241, 'impression', '6', 241123501L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0623830961165791, True, 'time']
['edos8912', 202571241, 'impression', '17', 241071595L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'impression', '20', 241068179L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '15', 241071681L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '3', 241166255L, datetime.datetime(2013, 5, 24, 19, 27, 32), 0.0525123624714005, True, 'time']
['edos8912', 202571241, 'expand_tile', '20', 241068179L, datetime.datetime(2013, 5, 24, 19, 28, 21), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'view_full_application_via_name', '20', 241068179L, datetime.datetime(2013, 5, 24, 19, 28, 46), 0.0761974984619431, False, 'time']

['edos8912', 202571241, 'impression', '5', 241125723L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.109793440891737, False, 'time']
['edos8912', 202571241, 'impression', '14', 241072120L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '18', 241070081L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '13', 241072887L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '7', 241117432L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0800855399543919, False, 'time']
['edos8912', 202571241, 'impression', '1', 241215177L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0179467709369233, True, 'time']
['edos8912', 202571241, 'impression', '8', 241105626L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '12', 241072973L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '9', 241095454L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '11', 241078175L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '4', 241137658L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0616323798697442, False, 'time']
['edos8912', 202571241, 'impression', '10', 241081263L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '2', 241178955L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'impression', '16', 241071597L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'impression', '17', 241071595L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'impression', '19', 241069523L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0622204355948179, True, 'time']
['edos8912', 202571241, 'impression', '6', 241123501L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0623830961165791, True, 'time']
['edos8912', 202571241, 'impression', '15', 241071681L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '20', 241068179L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '3', 241166255L, datetime.datetime(2013, 5, 25, 1, 31, 58), 0.0525123624714005, True, 'time']
['edos8912', 202571241, 'expand_tile', '2', 241178955L, datetime.datetime(2013, 5, 25, 1, 32, 9), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'collapse_tile', '2', 241178955L, datetime.datetime(2013, 5, 25, 1, 32, 21), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'expand_tile', '2', 241178955L, datetime.datetime(2013, 5, 25, 1, 32, 23), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'view_full_application', '2', 241178955L, datetime.datetime(2013, 5, 25, 1, 32, 26), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'impression', '17', 241071595L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'impression', '6', 241123501L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0623830961165791, True, 'time']
['edos8912', 202571241, 'impression', '19', 241069523L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0622204355948179, True, 'time']
['edos8912', 202571241, 'impression', '9', 241095454L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '13', 241072887L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '5', 241125723L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.109793440891737, False, 'time']
['edos8912', 202571241, 'impression', '7', 241117432L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0800855399543919, False, 'time']
['edos8912', 202571241, 'impression', '14', 241072120L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '18', 241070081L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '12', 241072973L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '8', 241105626L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '1', 241215177L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0179467709369233, True, 'time']
['edos8912', 202571241, 'impression', '11', 241078175L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '3', 241166255L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0525123624714005, True, 'time']
['edos8912', 202571241, 'impression', '20', 241068179L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '15', 241071681L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '4', 241137658L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0616323798697442, False, 'time']
['edos8912', 202571241, 'impression', '2', 241178955L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'impression', '10', 241081263L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '16', 241071597L, datetime.datetime(2013, 5, 25, 1, 37, 49), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'expand_tile', '1', 241215177L, datetime.datetime(2013, 5, 25, 1, 37, 53), 0.0179467709369233, True, 'time']
['edos8912', 202571241, 'view_full_application', '1', 241215177L, datetime.datetime(2013, 5, 25, 1, 38, 2), 0.0179467709369233, True, 'time']

['edos8912', 202571241, 'impression', '8', 241105626L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '12', 241072973L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '1', 241215177L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0179467709369233, True, 'time']
['edos8912', 202571241, 'impression', '18', 241068179L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '3', 241166255L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0525123624714005, True, 'time']
['edos8912', 202571241, 'impression', '15', 241071681L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '5', 241125723L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.109793440891737, False, 'time']
['edos8912', 202571241, 'impression', '14', 241072120L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '17', 241070081L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '7', 241117432L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0800855399543919, False, 'time']
['edos8912', 202571241, 'impression', '13', 241072887L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '9', 241095454L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '10', 241081263L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '4', 241137658L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0616323798697442, False, 'time']
['edos8912', 202571241, 'impression', '2', 241178955L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'impression', '11', 241078175L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '19', 241066285L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0364598265919675, False, 'time']
['edos8912', 202571241, 'impression', '16', 241071595L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'impression', '6', 241123501L, datetime.datetime(2013, 5, 25, 13, 54, 14), 0.0623830961165791, True, 'time']
