['dschenker', 202560213, 'impression', '10', 240860006L, datetime.datetime(2013, 5, 22, 16, 42, 19), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '11', 240859806L, datetime.datetime(2013, 5, 22, 16, 42, 19), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '1', 240952889L, datetime.datetime(2013, 5, 22, 16, 42, 19), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860192L, datetime.datetime(2013, 5, 22, 16, 42, 19), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860269L, datetime.datetime(2013, 5, 22, 16, 42, 19), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860165L, datetime.datetime(2013, 5, 22, 16, 42, 19), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'shortlist', '1', 240952889L, datetime.datetime(2013, 5, 22, 16, 42, 28), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', '1', 240952889L, datetime.datetime(2013, 5, 22, 16, 42, 29), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', None, 240952889L, datetime.datetime(2013, 5, 22, 16, 42, 29), 0.0178792933335172, False, 'time']

['dschenker', 202560213, 'impression', '2', 240905487L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '10', 240860006L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860269L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860165L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '5', 240861140L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '6', 240860775L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.00796321461259029, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860192L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '1', 240952889L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', '11', 240859806L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '3', 240876423L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861441L, datetime.datetime(2013, 5, 22, 21, 21, 24), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '10', 240860006L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '3', 240876423L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861441L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860165L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860269L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '1', 240952889L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860192L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '11', 240859806L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '2', 240905487L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '5', 240861140L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '6', 240860775L, datetime.datetime(2013, 5, 22, 21, 26, 33), 0.00796321461259029, False, 'time']

['dschenker', 202560213, 'impression', '6', 240876423L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '7', 240861441L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '14', 240859806L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '4', 240952889L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', '11', 240860192L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '1', 241053745L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0389001602598322, False, 'time']
['dschenker', 202560213, 'impression', '5', 240905487L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '8', 240861140L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860775L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.00796321461259029, False, 'time']
['dschenker', 202560213, 'impression', '2', 241053730L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0898758751685718, False, 'time']
['dschenker', 202560213, 'impression', '13', 240860006L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '3', 241053541L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0436719644284984, False, 'time']
['dschenker', 202560213, 'impression', '12', 240860165L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '10', 240860269L, datetime.datetime(2013, 5, 23, 17, 23, 5), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '5', 240905487L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '7', 240861441L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '6', 240876423L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '14', 240859806L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '11', 240860192L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '1', 241053745L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0389001602598322, False, 'time']
['dschenker', 202560213, 'impression', '4', 240952889L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0178792933335172, False, 'time']
['dschenker', 202560213, 'impression', '10', 240860269L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '3', 241053541L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0436719644284984, False, 'time']
['dschenker', 202560213, 'impression', '12', 240860165L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '8', 240861140L, datetime.datetime(2013, 5, 23, 17, 23, 19), 0.0858350614041933, False, 'time']
